대분류,중분류,순위,상호,대표자,소재지,등록번호,시공능력평가액,공사실적평가액,경영평가액,기술능력평가액,신인도평가액,건설공사실적,기술자수
전기설비,전기공사업,5009,주식회사 기성산업,서성희,전남광주통합특별시 무안군 청계면,광주-00615,4363975000,,,,,,
전기설비,전기공사업,7686,(주)기성이엔지,김문곤,부산광역시 금정구 서부로,부산-01155,3008483000,,,,,,
전기설비,전기공사업,9931,주식회사 기성이엔지,윤광현,"경기도 군포시 금당로17번길 2,",경기-06641,2360057000,,,,,,
전기설비,전기공사업,10696,(주)기성이엔지,오원근,전남광주통합특별시 광양시 옥곡면 신금로,전남-01169,2192930000,,,,,,
전기설비,전기공사업,8122,주식회사 기성테크,김지선,인천광역시 제물포구  방축로83번길,인천-01328,2855286000,,,,,,
전기설비,전기공사업,16919,주식회사 기승이엔지,김점수,경기도 김포시 옹주물로 60-3,경기-07013,1212901000,,,,,,
전기설비,전기공사업,11988,(주)기승전기,변창규,경상남도 합천군 합천읍 교동3길,경남-01375,1960346000,,,,,,
전기설비,전기공사업,4888,기승전설,유승열,경상남도 창원시 마산회원구 양덕북5길,경남-00433,4445541000,,,,,,
전기설비,전기공사업,5185,주식회사 기안전기,류기현,대전광역시 유성구 대학로,대전-00804,4220964000,,,,,,
전기설비,전기공사업,19536,주식회사 기안전기통신,이기락,대구광역시 중구  남산로4길,경북-00079,815189000,,,,,,
전기설비,전기공사업,14136,기연전기(주),이기연,부산광역시 기장군 일광읍 화용길,부산-01220,1596125000,,,,,,
전기설비,전기공사업,6456,주식회사 기영이엔씨,조용리,서울특별시 광진구 아차산로,경북-01522,3490284000,,,,,,
전기설비,전기공사업,3896,기영일렉테크 주식회사,김기영,경상북도 칠곡군 왜관읍 아곡7길 47,경북-02197,5365529000,,,,,,
전기설비,전기공사업,11301,주식회사 기영전력,엄창수 외1명,경상북도 포항시 남구 송림로103번길,경기-04179,2086154000,,,,,,
전기설비,전기공사업,7119,주식회사 기영테크이엔지,이유석 외1명,경기도 안산시 상록구 담원길 7,경기-06407,3213227000,,,,,,
전기설비,전기공사업,10066,기용 주식회사,이미영 외1명,경상남도 하동군 고전면,경남-02147,2327096000,,,,,,
전기설비,전기공사업,2968,주식회사 기웅전력,이창웅,부산광역시 강서구 공항로1309번길,부산-01571,6700227000,,,,,,
전기설비,전기공사업,11841,기원전기 주식회사,김재우,강원특별자치도 강릉시 사임당로,서울-04667,1989069000,,,,,,
전기설비,전기공사업,9287,기원전기(주),정익모,경기도 평택시 포승읍 서동대로,경기-02510,2525207000,,,,,,
전기설비,전기공사업,8303,주식회사 기원전력,김근형,대구광역시 서구 달구벌대로375길 27-220,대구-01058,2797832000,,,,,,
전기설비,전기공사업,20355,주식회사 기원종합건설,한승훈,전남광주통합특별시 영광군 영광읍 옥당로,전남-01500,595439000,,,,,,
전기설비,전기공사업,12585,주식회사 기인전력,기나현,경기도 파주시 문산읍 문산로26번길,전남-01684,1853894000,,,,,,
전기설비,전기공사업,17124,주식회사 기전력,박희남,전북특별자치도 익산시 무왕로31길 386(월성동),전북-01933,1187625000,,,,,,
전기설비,전기공사업,634,(합)기전사,성환규,부산광역시 동래구 여고북로33번길,부산-00008,19431595000,,,,,,
전기설비,전기공사업,15224,(주)기전사,김창신,강원특별자치도 양구군,강원-00727,1441166000,,,,,,
전기설비,전기공사업,490,주식회사 기전사,신해식,충청북도 청주시 서원구 3순환로 230,충북-00571,22921121000,,,,,,
전기설비,전기공사업,6306,(주)기전사,정봉기,충청북도 영동군 영동읍 계산로,경기-00491,3548828000,,,,,,
전기설비,전기공사업,1846,(주)기전사,김민호,서울특별시 송파구 법원로8길,서울-00200,9411765000,,,,,,
전기설비,전기공사업,5007,주식회사 기전이앤텍,김인호,경상북도 칠곡군 동명면 송산11길,대전-00592,4365112000,,,,,,
전기설비,전기공사업,4825,기전전력 주식회사,박영배,부산광역시 서구 대영로111번길,부산-01564,4485601000,,,,,,
전기설비,전기공사업,11258,기전테크,최영해,충청북도 제천시 원화산로,충북-00753,2092366000,,,,,,
전기설비,전기공사업,17030,기주전력,박주영,"경상남도 양산시 물금읍 물금중앙길 41-21,",경남-02458,1199133000,,,,,,
전기설비,전기공사업,14867,주식회사 기찬전력,이귀영,전남광주통합특별시 영암군 영암읍,전남-02149,1491626000,,,,,,
전기설비,전기공사업,324,주식회사 기천,조덕승,충청남도 천안시 동남구 목천읍,충남-00013,29192361000,,,,,,
전기설비,전기공사업,2789,주식회사 기태,박태숙,"전북특별자치도 군산시 진포로 91,",전북-00637,6992640000,,,,,,
전기설비,전기공사업,17155,주식회사 기해전력,유기종,"강원특별자치도 원주시 돌터1길 10-11,",강원-01130,1183296000,,,,,,
전기설비,전기공사업,11722,기해전력 주식회사,박진희,경상남도 창원시 의창구,경남-01940,2010290000,,,,,,
전기설비,전기공사업,17758,주식회사 기현이엔씨,황현태,경기도 양평군 용문면 마룡리,경기-05003,1097397000,,,,,,
전기설비,전기공사업,9755,주식회사 기현테크윈,강신훈,"서울특별시 강남구 자곡로 204-5,",서울-02431,2398555000,,,,,,
전기설비,전기공사업,11650,기호전기,한기문,경기도 김포시 양촌읍 양곡로,경기-01368,2021563000,,,,,,
전기설비,전기공사업,3532,주식회사 기호전력,최정혜,전남광주통합특별시 완도군 완도읍 장보고대로 36,대구-01256,5839119000,,,,,,
전기설비,전기공사업,7143,기흥이앤아이 주식회사,김난옥,전북특별자치도 익산시 약촌로,서울-01428,3202649000,,,,,,
전기설비,전기공사업,14999,(주)기흥이엔씨,신민자,경상북도 성주군 초전면 용대로,경북-01045,1472171000,,,,,,
전기설비,전기공사업,1040,주식회사 기흥전기,조진숙,전남광주통합특별시 신안군 안좌면 중부로,전남-00905,13889521000,,,,,,
전기설비,전기공사업,7403,(합)기흥전력,홍완기,대구광역시 달성군 화원읍 성천로,대구-00435,3101296000,,,,,,
전기설비,전기공사업,13551,주식회사 기흥전력,손현화,경상북도 구미시 송선로 166-31,경북-02369,1693391000,,,,,,
전기설비,전기공사업,1720,기흥전설 주식회사,홍승아,대구광역시 북구 노원로,대구-00885,9869470000,,,,,,
전기설비,전기공사업,13597,길갈전기,전호필,서울특별시 중랑구 겸재로64길,서울-02590,1685521000,,,,,,
전기설비,전기공사업,8943,주식회사 길네트웍스,박상길,충청남도 아산시 배방읍 광장로 177-10,서울-06002,2617948000,,,,,,
전기설비,전기공사업,2541,(주)길리,김승열,울산광역시 남구 신화로41번길,울산-00029,7462615000,,,,,,
전기설비,전기공사업,14132,주식회사 길상,최승미,경상남도 창원시 의창구 동읍 용남길10번길 5-1,경남-01849,1596912000,,,,,,
